source,source_ID,model,prompt,human_text,machine_text,no_sentence_human,no_sentence_machine,num_words_human,num_words_machine,character0_human,character1_human,character2_3_human,character4_human,character5_human,character0_machine,character1_machine,character2_3_machine,character4_machine,character5_machine,std_dev_human,std_dev_machine,sent_len_diff_human,sent_len_diff_machine,count_short_sentences_in_paragraphs_human,count_short_sentences_in_paragraphs_machine,count_long_sentences_in_paragraphs_human,count_long_sentences_in_paragraphs_machine,check_word0_human,check_word1_human,check_word2_3_human,check_word3_human,check_word4_human,check_word5_human,check_word0_machine,check_word1_machine,check_word2_3_machine,check_word3_machine,check_word4_machine,check_word5_machine,check_num_human,check_num_machine,check_capitals_human,check_capitals_machine,check_et_human,check_et_machine
arxiv,704.0007,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: Polymer Quantum Mechanics and its Continuum Limit. Describe the results obtained,  problem work attempts to solve, and the key ideas and methodology in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  A rather non-standard quantum representation of the canonical commutation
relations of quantum mechanics systems, known as the polymer representation has
gained some attention in recent years, due to its possible relation with Planck
scale physics. In particular, this approach has been followed in a symmetric
sector of loop quantum gravity known as loop quantum cosmology. Here we explore
different aspects of the relation between the ordinary Schroedinger theory and
the polymer description. The paper has two parts. In the first one, we derive
the polymer quantum mechanics starting from the ordinary Schroedinger theory
and show that the polymer description arises as an appropriate limit. In the
second part we consider the continuum limit of this theory, namely, the reverse
process in which one starts from the discrete theory and tries to recover back
the ordinary Schroedinger quantum mechanics. We consider several examples of
interest, including the harmonic oscillator, the free particle and a simple
cosmological model.
","In this paper, we study the continuum of the polymer atoms. We present our results in the form of a numerical simulation. We present a solution of the continuum of the polymer atoms. We test the convergence of the atoms, the properties of the atoms, and the nature of the quantum. The results of this study provide a theoretical basis for further studies of other polymer properties, which are still poorly understood. We present the integral, the partial, and the integral representations of polymer atoms, and we use numerical simulations to prove the results. We investigate the connection between the atoms, determining the degree of continuity of the periodicity, which is necessary to describe the atoms in a continuous manner. We find that it is possible to define a continuous path through the polymer, and this is necessary for the polymer to behave in a continuous manner. In the atom space, we find a continuous path, which is necessary for the atoms to be of the same general type. ",0.35294117647058826,0.7777777777777778,0.16216216216216217,0.6149425287356322,0,1,0,0,0,0,0,0,0,0,0.10054605317125674,0.13913754713777085,0.08949416342412451,0.07792207792207792,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
arxiv,704.0009,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: The Spitzer c2d Survey of Large, Nearby, Insterstellar Clouds. IX. The
  Serpens YSO Population As Observed With IRAC and MIPS. Describe the results obtained, the key ideas and methodology, and the motivation for the research in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  We discuss the results from the combined IRAC and MIPS c2d Spitzer Legacy
observations of the Serpens star-forming region. In particular we present a set
of criteria for isolating bona fide young stellar objects, YSO's, from the
extensive background contamination by extra-galactic objects. We then discuss
the properties of the resulting high confidence set of YSO's. We find 235 such
objects in the 0.85 deg^2 field that was covered with both IRAC and MIPS. An
additional set of 51 lower confidence YSO's outside this area is identified
from the MIPS data combined with 2MASS photometry. We describe two sets of
results, color-color diagrams to compare our observed source properties with
those of theoretical models for star/disk/envelope systems and our own modeling
of the subset of our objects that appear to be star+disks. These objects
exhibit a very wide range of disk properties, from many that can be fit with
actively accreting disks to some with both passive disks and even possibly
debris disks. We find that the luminosity function of YSO's in Serpens extends
down to at least a few x .001 Lsun or lower for an assumed distance of 260 pc.
The lower limit may be set by our inability to distinguish YSO's from
extra-galactic sources more than by the lack of YSO's at very low luminosities.
A spatial clustering analysis shows that the nominally less-evolved YSO's are
more highly clustered than the later stages and that the background
extra-galactic population can be fit by the same two-point correlation function
as seen in other extra-galactic studies. We also present a table of matches
between several previous infrared and X-ray studies of the Serpens YSO
population and our Spitzer data set.
","A variety of YSOs, namely YSOs of the type I and YSOs of the type II type, were found in the Serpens region. The Serpens region was a close-up region of the star formation, which is the best location for the study of YSOs. This is the region of the Serpens region, and it is therefore suitable for the study of planetary formation. The main goal of this research is to find out more about the YSOs, the process of formation, and the properties of YSOs, including YSOs of the type I and the type II. We will use color and color charts to identify the different YSOs, their age and their distribution, and also to distinguish between disks and envelopes. Our study showed that there were 581 YSOs in the Serpens cloud, all Class I and Class II, and some also of Class II. We analyzed 581 YSOs in the Serpens cloud, ranging from class I to class II, and we found that the number of YSOs was uneven in the center of the cloud, and in the central cluster the most abundant YSOs were seen. ",0.5882352941176471,0.5555555555555556,0.8378378378378378,0.7183908045977011,0,1,0,0,1,0,1,0,0,0,0.07526527234106332,0.18672359151867585,0.0622568093385214,0.2077922077922078,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arxiv,704.0017,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: Spectroscopic Observations of the Intermediate Polar EX Hydrae in
  Quiescence. Describe the results obtained, the key ideas and methodology, and the motivation for the research in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  Results from spectroscopic observations of the Intermediate Polar (IP) EX Hya
in quiescence during 1991 and 2001 are presented. Spin-modulated radial
velocities consistent with an outer disc origin were detected for the first
time in an IP. The spin pulsation was modulated with velocities near ~500-600
km/s. These velocities are consistent with those of material circulating at the
outer edge of the accretion disc, suggesting corotation of the accretion
curtain with material near the Roche lobe radius. Furthermore, spin Doppler
tomograms have revealed evidence of the accretion curtain emission extending
from velocities of ~500 km/s to ~1000 km/s. These findings have confirmed the
theoretical model predictions of King & Wynn (1999), Belle et al. (2002) and
Norton et al. (2004) for EX Hya, which predict large accretion curtains that
extend to a distance close to the Roche lobe radius in this system. Evidence
for overflow stream of material falling onto the magnetosphere was observed,
confirming the result of Belle et al. (2005) that disc overflow in EX Hya is
present during quiescence as well as outburst. It appears that the hbeta and
hgamma spin radial velocities originated from the rotation of the funnel at the
outer disc edge, while those of halpha were produced due to the flow of
material along the field lines far from the white dwarf (narrow component) and
close to the white dwarf (broad-base component), in agreement with the
accretion curtain model.
","The study has shown that the accretion process in the intermediate polar region is inextricably induced by the changes in the climate and the accretion rates, and that the environment around the white dwarf is highly inhospitable to temperature changes. Our results give new insights into the accretion process of the polar regions, and give a comprehensive understanding of the complex structure of the processes. We present the results of a spectroscopic survey of the EX Hydrae in its quiescent state. In this research we systematically investigate the origin of the emission zones and the physical properties of the accretion geometry. From the observation of the line of sight we find a broad and broad range of velocities, indicating that there is an extremely unsymmetrical flow of accretion. We also find small emission lines from the column of accretion and the rapidly moving white dwarf, which suggests the presence of a hot spot on the surface of the white dwarf. ",0.5882352941176471,0.4444444444444444,0.5945945945945946,0.5632183908045977,1,1,0,0,0,0,0,0,0,0,0.14345276165703874,0.18872867005813576,0.19066147859922178,0.15584415584415584,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
arxiv,704.0022,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: Stochastic Lie group integrators. Describe  problem work attempts to solve, the motivation for the research, and the results obtained in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  We present Lie group integrators for nonlinear stochastic differential
equations with non-commutative vector fields whose solution evolves on a smooth
finite dimensional manifold. Given a Lie group action that generates transport
along the manifold, we pull back the stochastic flow on the manifold to the Lie
group via the action, and subsequently pull back the flow to the corresponding
Lie algebra via the exponential map. We construct an approximation to the
stochastic flow in the Lie algebra via closed operations and then push back to
the Lie group and then to the manifold, thus ensuring our approximation lies in
the manifold. We call such schemes stochastic Munthe-Kaas methods after their
deterministic counterparts. We also present stochastic Lie group integration
schemes based on Castell--Gaines methods. These involve using an underlying
ordinary differential integrator to approximate the flow generated by a
truncated stochastic exponential Lie series. They become stochastic Lie group
integrator schemes if we use Munthe-Kaas methods as the underlying ordinary
differential integrator. Further, we show that some Castell--Gaines methods are
uniformly more accurate than the corresponding stochastic Taylor schemes.
Lastly we demonstrate our methods by simulating the dynamics of a free rigid
body such as a satellite and an autonomous underwater vehicle both perturbed by
two independent multiplicative stochastic noise processes.
","The method has been applied to a variety of problems, including the simulation of the motion of a rigid body in a fluid. This new method overcomes the difficulty of numerically obtaining stochastic differential equations on non-Euclidean surfaces. The Euler-Maruyama scheme, however, is insufficiently mathematically complete, so that the resulting calculations have an inevitable increase in the rate of error. We have now invented a new method for numerically constructing differential equations on Lie groups, which is an efficient and convenient way of doing so. We prove our effectiveness by means of a numerical experiment, which demonstrates the effectiveness of our method, and by the application of it to the study of the motion of a rigid body in a fluid. Our results demonstrate the efficacy of our method, and are shown to be of high accuracy and long-term stability. ",0.47058823529411764,0.4444444444444444,0.4594594594594595,0.4482758620689655,0,1,0,0,0,0,1,0,0,0,0.10006509443199128,0.1506691517615031,0.10116731517509728,0.19480519480519481,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
arxiv,704.0023,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: ALMA as the ideal probe of the solar chromosphere. Describe the results obtained,  problem work attempts to solve, and the key ideas and methodology in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric observations at millimeter
wavelengths to resolve this long-standing problem. Computations carried out
with a sophisticated dynamic model of the solar chromosphere due to Carlsson
and Stein demonstrate that millimeter emission is extremely sensitive to
dynamic processes in the chromosphere and the appropriate wavelengths to look
for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests
that high resolution observations at mm wavelengths, as will be provided by
ALMA, will have the unique property of reacting to both the hot and the cool
gas, and thus will have the potential of distinguishing between rival models of
the solar atmosphere. Thus, initial results obtained from the observations of
the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal
significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8
mHz with a tendency toward short-period oscillations in internetwork and longer
periods in network regions. However higher spatial resolution, such as that
provided by ALMA, is required for a clean separation between the features
within the solar atmosphere and for an adequate comparison with the output of
the comprehensive dynamic simulations.
","It is by the ALMA telescope that we have made the first observation of the solar chromosphere, and we have shown it to be a valuable tool in the study of the chromosphere, its temperature, density, magnetic field and chemistry. We have also examined the radiation from the ALMA telescope, the results of which can be interpreted and used to enhance the model of the solar chromosphere. We have also investigated the physical process of the solar chromosphere, the heating of the corona and the emission of the energy of the sand. In this study, we have applied the almana observatory in the ultraviolet and visible spectrums. This observatory has the advantage of a direct measurement of the temperature, density and magnetic field of the solar chromosphere. This means that this instrument is capable of studying the chromosphere at high resolution. The results of this study are presented as a result of our experiments. ",0.29411764705882354,0.5555555555555556,0.4864864864864865,0.5287356321839081,1,1,0,0,0,0,0,0,0,0,0.12436234013715837,0.2486991021496521,0.10894941634241245,0.16883116883116883,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
arxiv,704.0032,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: Probing non-standard neutrino interactions with supernova neutrinos. Describe the key ideas and methodology,  problem work attempts to solve, and the results obtained in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  We analyze the possibility of probing non-standard neutrino interactions
(NSI, for short) through the detection of neutrinos produced in a future
galactic supernova (SN).We consider the effect of NSI on the neutrino
propagation through the SN envelope within a three-neutrino framework, paying
special attention to the inclusion of NSI-induced resonant conversions, which
may take place in the most deleptonised inner layers. We study the possibility
of detecting NSI effects in a Megaton water Cherenkov detector, either through
modulation effects in the $\bar\nu_e$ spectrum due to (i) the passage of shock
waves through the SN envelope, (ii) the time dependence of the electron
fraction and (iii) the Earth matter effects; or, finally, through the possible
detectability of the neutronization $\nu_e$ burst. We find that the $\bar\nu_e$
spectrum can exhibit dramatic features due to the internal NSI-induced resonant
conversion. This occurs for non-universal NSI strengths of a few %, and for
very small flavor-changing NSI above a few$\times 10^{-5}$.
","This is the main question of this study, for it is to find out how the NSI can affect the neutrino signal from a supernova and to establish the influence of these NSIs on the neutrino signals. The main question here is: how to find out the effect of NSIs on the neutrino signal of a supernova, and what they are. Our study is conducted on a three-layer simulation of the neutrino fluxes, and we use different NSI parameters. The results show that NSIs can influence the neutrino signal considerably and produce deviations from the standard oscillation, resulting in the calculation of other non-standard parameters. The results demonstrate that the impact of NSIs can be significant and lead to deviations from the standard oscillation. We also analyze the deviation of certain NSI parameters to see if they are influencing the expected signals. ",0.17647058823529413,0.4444444444444444,0.16756756756756758,0.45977011494252873,1,1,1,0,0,0,1,1,0,0,0.23593880177230409,0.14996751659813928,0.2140077821011673,0.11688311688311688,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
arxiv,704.0036,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: A remark on the number of steady states in a multiple futile cycle. Describe the motivation for the research, the key ideas and methodology, and the results obtained in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  The multisite phosphorylation-dephosphorylation cycle is a motif repeatedly
used in cell signaling. This motif itself can generate a variety of dynamic
behaviors like bistability and ultrasensitivity without direct positive
feedbacks. In this paper, we study the number of positive steady states of a
general multisite phosphorylation-dephosphorylation cycle, and how the number
of positive steady states varies by changing the biological parameters. We show
analytically that (1) for some parameter ranges, there are at least n+1 (if n
is even) or n (if n is odd) steady states; (2) there never are more than 2n-1
steady states (in particular, this implies that for n=2, including single
levels of MAPK cascades, there are at most three steady states); (3) for
parameters near the standard Michaelis-Menten quasi-steady state conditions,
there are at most n+1 steady states; and (4) for parameters far from the
standard Michaelis-Menten quasi-steady state conditions, there is at most one
steady state.
","To that end, we present a theoretical framework for the calculation of the number of stable states in a cyclic cyclic cycle which considers various constraints, such as the mass of the molecule, the thermodynamical change, and the availability of the substrate. In order to verify our results, we propose to expand the theory of cellular metabolism to more complex cycles, and to incorporate other biological features, such as reversibility and enzymatic regulation. This work aims to make a fundamental contribution to the understanding of cellular metabolism and to suggest new ways of regulating it in the context of biotechnology, pharmaceutics, and synthetic biology. Our research is of great relevance for the theoretical study of metabolic regulation and may be useful for research in medicine, for drugs, for drug design, for synthetic biology. ",0.17647058823529413,0.2222222222222222,0.14054054054054055,0.40804597701149425,1,1,1,0,0,0,0,0,0,0,0.39509075899325885,0.10748195325005902,0.3151750972762646,0.11688311688311688,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
arxiv,704.0037,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: The discrete dipole approximation for simulation of light scattering by
  particles much larger than the wavelength. Describe the results obtained, the motivation for the research, and  problem work attempts to solve in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  In this manuscript we investigate the capabilities of the Discrete Dipole
Approximation (DDA) to simulate scattering from particles that are much larger
than the wavelength of the incident light, and describe an optimized publicly
available DDA computer program that processes the large number of dipoles
required for such simulations. Numerical simulations of light scattering by
spheres with size parameters x up to 160 and 40 for refractive index m=1.05 and
2 respectively are presented and compared with exact results of the Mie theory.
Errors of both integral and angle-resolved scattering quantities generally
increase with m and show no systematic dependence on x. Computational times
increase steeply with both x and m, reaching values of more than 2 weeks on a
cluster of 64 processors. The main distinctive feature of the computer program
is the ability to parallelize a single DDA simulation over a cluster of
computers, which allows it to simulate light scattering by very large
particles, like the ones that are considered in this manuscript. Current
limitations and possible ways for improvement are discussed.
","The problem of resolving the Maxwell equations in a light-interacting particle is a difficult one, and so is very difficult in many scientific and engineering fields. This is what we have to do in this project, namely to simulate light scattering by a particle larger than the wavelength. Our goal is to provide an explanation of the effect of the resolving factor of a particle larger than the wavelength, and thus to establish its usefulness in the field of physics. We will discuss this question in detail and give some examples of particles larger than the wavelength of the light. Then we will show the use of DDA in a practical example, and demonstrate the effectiveness of this approach in the study of light scattering by particles larger than the wavelength of light. We propose the use of the DDA method in a practical simulation of light scattering by particles much larger than the wavelength of light. ",0.23529411764705882,0.4444444444444444,0.2648648648648649,0.5459770114942529,1,1,0,0,0,0,1,0,0,0,0.14223518798001739,0.09048677498301877,0.13618677042801555,0.14285714285714285,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
arxiv,704.0039,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: Scalar radius of the pion and zeros in the form factor. Describe the key ideas and methodology, the results obtained, and  problem work attempts to solve in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  The quadratic pion scalar radius, \la r^2\ra^\pi_s, plays an important role
for present precise determinations of \pi\pi scattering. Recently, Yndur\'ain,
using an Omn\`es representation of the null isospin(I) non-strange pion scalar
form factor, obtains \la r^2\ra^\pi_s=0.75\pm 0.07 fm^2. This value is larger
than the one calculated by solving the corresponding Muskhelishvili-Omn\`es
equations, \la r^2\ra^\pi_s=0.61\pm 0.04 fm^2. A large discrepancy between both
values, given the precision, then results. We reanalyze Yndur\'ain's method and
show that by imposing continuity of the resulting pion scalar form factor under
tiny changes in the input \pi\pi phase shifts, a zero in the form factor for
some S-wave I=0 T-matrices is then required. Once this is accounted for, the
resulting value is \la r^2\ra_s^\pi=0.65\pm 0.05 fm^2. The main source of error
in our determination is present experimental uncertainties in low energy S-wave
I=0 \pi\pi phase shifts. Another important contribution to our error is the not
yet settled asymptotic behaviour of the phase of the scalar form factor from
QCD.
","We investigated the scalar radius of the pion, the apparent zero in the form factor, and found that it was not equal to zero, but rather the inverse of the vector, which requires the presence of a pion pole in the form factor. Our analysis has shown that the pion’s scalar radius is not equal to zero, as previously thought, and we have also discovered the inverse of the form factor, an unknown one, in which the pion’s amplitude is not given by the vector, and thus it is not the form factor of the pion. Our work is therefore a useful contribution to the understanding of the structure of the pion and its role in the science of physics. We investigate the scalar radius of the pion and its apparent zero. We find out the scalar radius of the pion and the apparent zero of its form factor. Our research addresses the problem of the scalar radius of the pion and the apparent zero of its form factor. Our study reveals that the scalar radius of the pion is not equal to zero, as previously thought, and the form factor is unknown because it is not of the vector form factor, and requires the presence of the pion pole. ",0.4117647058823529,0.5555555555555556,0.2,0.8505747126436781,1,1,0,0,1,0,0,0,0,0,0.08262576615013419,0.482363257371868,0.11284046692607004,0.45454545454545453,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
arxiv,704.0041,gpt-3.5-turbo,"Generate a 150-220-word abstract for work with title: Quantum Group of Isometries in Classical and Noncommutative Geometry. Describe  problem work attempts to solve, the motivation for the research, and the results obtained in a formal academic and scientific writing voice. Use the first plural person form. Use active voice.","  We formulate a quantum generalization of the notion of the group of
Riemannian isometries for a compact Riemannian manifold, by introducing a
natural notion of smooth and isometric action by a compact quantum group on a
classical or noncommutative manifold described by spectral triples, and then
proving the existence of a universal object (called the quantum isometry group)
in the category of compact quantum groups acting smoothly and isometrically on
a given (possibly noncommutative) manifold satisfying certain regularity
assumptions. In fact, we identify the quantum isometry group with the universal
object in a bigger category, namely the category of `quantum families of smooth
isometries', defined along the line of Woronowicz and Soltan. We also construct
a spectral triple on the Hilbert space of forms on a noncommutative manifold
which is equivariant with respect to a natural unitary representation of the
quantum isometry group. We give explicit description of quantum isometry groups
of commutative and noncommutative tori, and in this context, obtain the quantum
double torus defined in \cite{hajac} as the universal quantum group of
holomorphic isometries of the noncommutative torus.
",We will present our findings in the form of a new theory of quantum isometries in classical and non-commutative geometry. We will introduce our findings into the realm of quantum isometries and their algebraic structure. We will present an overview of the literature on the subject and a number of open problems. This work will be of use to the literature and the reader by defining the problems in the field. In this work we examine the quantum isometries in classical and non-commutative geometry. Our main aim is to understand the symmetries of these symmetries and the algebraic structure. This approach is useful for new work in the field of quantum isometries. We will discuss how to calculate the R-matrices and the covariances of the symmetries of the symmetries in the classical and the non-commutative domains. We present an introduction to the theory of Hopf algebra and its application to the topology of the symmetries. This new work is the result of an investigation into the mathematical properties of the quantum group of isometries. We consider the symmetries of the symmetries of the symmetries of the symmetries in the classical and the non-commutative domains of quantum geometry. ,0.17647058823529413,1.0,0.2918918918918919,0.7758620689655172,1,0,0,0,1,0,1,0,0,0,0.20389872822503893,0.038461232922726095,0.1828793774319066,0.1038961038961039,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
